,timestamp,CONTAINER ID,source,id,CPU (%),MEM USAGE,LIMIT,MEM %,NET IN,NET OUT,BLOCK IN,BLOCK OUT,PIDS
129,00:25:20,7a5d590f0972,docker_redis_1,1,12.88,4.153409536,419.4304,0.99%,149.0,34.9,3.19,0.0,4
130,00:25:21,7a5d590f0972,docker_redis_1,1,11.80,4.1366323199999995,419.4304,0.99%,150.0,35.2,3.19,0.0,4
131,00:25:22,7a5d590f0972,docker_redis_1,1,12.52,4.140826624,419.4304,0.99%,152.0,35.5,3.19,0.0,4
132,00:25:24,7a5d590f0972,docker_redis_1,1,12.00,4.153409536,419.4304,0.99%,153.0,35.8,3.19,0.0,4
133,00:25:25,7a5d590f0972,docker_redis_1,1,10.98,4.153409536,419.4304,0.99%,154.0,36.1,3.19,0.0,4
134,00:25:26,7a5d590f0972,docker_redis_1,1,12.72,4.153409536,419.4304,0.99%,155.0,36.4,3.19,0.0,4
135,00:25:27,7a5d590f0972,docker_redis_1,1,11.80,4.153409536,419.4304,0.99%,157.0,36.7,3.19,0.0,4
136,00:25:28,7a5d590f0972,docker_redis_1,1,12.38,4.2561699840000005,419.4304,1.01%,158.0,37.0,3.19,0.0,4
137,00:25:29,7a5d590f0972,docker_redis_1,1,11.32,4.125097984,419.4304,0.98%,159.0,37.3,3.19,0.0,4
138,00:25:30,7a5d590f0972,docker_redis_1,1,9.77,4.129292288,419.4304,0.98%,160.0,37.6,3.19,0.0,4
139,00:25:31,7a5d590f0972,docker_redis_1,1,11.19,4.125097984,419.4304,0.98%,162.0,37.9,3.19,0.0,4
140,00:25:32,7a5d590f0972,docker_redis_1,1,11.07,4.129292288,419.4304,0.98%,163.0,38.1,3.19,0.0,4
141,00:25:33,7a5d590f0972,docker_redis_1,1,11.28,4.132438016,419.4304,0.99%,164.0,38.4,3.19,0.0,4
142,00:25:34,7a5d590f0972,docker_redis_1,1,12.01,4.125097984,419.4304,0.98%,165.0,38.7,3.19,0.0,4
143,00:25:35,7a5d590f0972,docker_redis_1,1,15.10,4.153409536,419.4304,0.99%,167.0,39.0,3.19,0.0,4
144,00:25:36,7a5d590f0972,docker_redis_1,1,14.10,4.161798144,419.4304,0.99%,168.0,39.4,3.19,0.0,4
145,00:25:37,7a5d590f0972,docker_redis_1,1,12.82,4.161798144,419.4304,0.99%,170.0,39.7,3.19,0.0,4
146,00:25:38,7a5d590f0972,docker_redis_1,1,11.62,4.15760384,419.4304,0.99%,171.0,40.0,3.19,0.0,4
147,00:25:39,7a5d590f0972,docker_redis_1,1,11.14,4.1209036800000005,419.4304,0.98%,173.0,40.6,3.19,0.0,4
148,00:25:40,7a5d590f0972,docker_redis_1,1,9.32,4.1209036800000005,419.4304,0.98%,174.0,41.0,3.19,0.0,4
149,00:25:41,7a5d590f0972,docker_redis_1,1,10.20,4.116709376,419.4304,0.98%,175.0,41.2,3.19,0.0,4
